node,nx_lapl_centr
ABW,4.4750480362317845e-05
1.A.1.a,0.6745626000029153
1.A.2,0.21582357085898274
1.A.4,0.0584242489515551
1.A.5,0.003132358083673857
1.A.3.a,0.010932539399277868
1.A.3.b_noRES,0.1334478480403144
1.A.3.d,0.007571946398705594
1.A.3.e,0.0017897442485472288
2.A.3,9.953508851723167e-05
2.A.4,0.0019015085122093703
2.D,0.0024129839463769855
AFG,0.00022804292244217584
3.C.1,0.005971572117901519
1.A.1.bc,0.026350760740057353
1.B.1,0.014808726869039777
1.B.2,0.0017125222417002314
2.A.1,0.04083906186118994
2.B,0.011667061408792147
3.C.3,0.000927127563152397
AGO,0.0005060395491342587
2.A.2,0.01034638618585804
AIA,6.1311814867315e-07
AIR,0.00356642019678047
ALB,7.833815317878053e-05
1.A.3.c,0.001307763123891262
2.C,0.010412357503121134
3.C.2,0.00025817420154962547
4.C,0.0001675090286577951
ANT,6.008284399959543e-05
ARE,0.005861744548561398
ARG,0.004187751559520825
ARM,0.00014004387226921426
ATG,2.728038994601593e-05
AUS,0.01246036293294809
5.B,0.0013932052657416347
AUT,0.001547531724218607
AZE,0.0009455302007965404
BDI,1.8412847529428128e-05
BEL,0.002086545489595457
BEN,0.0001659157699892659
BFA,0.00011434386166081388
BGD,0.0029568825201592985
BGR,0.0013900953869249225
BHR,0.0012933862453292228
BHS,0.00014206141129605336
BIH,0.0008027669523273848
BLR,0.0018741951050466677
BLZ,2.2613730644808783e-05
BMU,2.8727324522671283e-05
BOL,0.0005056370058934501
BRA,0.011319289801403115
BRB,5.989943092316154e-05
BRN,0.00021383684558855777
BTN,2.841564517906848e-05
BWA,0.0002662898863199532
CAF,7.458353093831455e-06
CAN,0.011713230510500983
CHE,0.0007120238395599644
CHL,0.0028424092193441186
CHN,0.6559208335757727
CIV,0.00032199256909801134
CMR,0.0002115244855071793
COD,6.582359763833298e-05
COG,0.0001403234159183342
COK,2.7234156738057003e-06
COL,0.0018860772122969752
COM,7.524704429398609e-06
CPV,2.1425462705573965e-05
CRI,0.0001611901739660078
CUB,0.0008583928521769153
CYM,3.022692893664592e-05
CYP,0.00022561926144635156
CZE,0.003206393062546383
DEU,0.019869759870841653
DJI,1.4459658013622538e-05
DMA,6.652531014001068e-06
DNK,0.0007116005123469872
DOM,0.0008295706156431274
DZA,0.0036886021280472326
ECU,0.0007617617988645476
EGY,0.007363496526486052
ERI,2.8622186586523214e-05
ESH,5.629107497721897e-06
ESP,0.005790468792201637
EST,0.00037672491241123586
ETH,0.0003469799159998704
FIN,0.0011863919248024748
FJI,4.200340985552669e-05
FLK,1.7156829253443298e-06
FRA,0.006415145857738876
FRO,1.4431883628185675e-10
GAB,8.845637916205952e-05
GBR,0.008124922206225169
GEO,0.00021299021600382936
GHA,0.0005503477214145734
GIB,1.923415674966787e-05
GIN,8.087731625031574e-05
GLP,6.462301553387698e-05
GMB,1.3215202838761322e-05
GNB,8.212443420356123e-06
GNQ,0.00011915072809271415
GRC,0.0017344040878373543
GRD,1.2053646112508454e-05
GRL,9.278789392643862e-06
GTM,0.0005484185860362642
GUF,2.777389050671841e-05
GUY,8.282584832282936e-05
HKG,0.0017424564082676355
HND,0.00029985492001592077
HRV,0.0003729135778360505
HTI,9.331420692672865e-05
HUN,0.001151721033681527
IDN,0.01935304279555725
IND,0.09606498017947185
IRL,0.0008865615891106912
IRN,0.015893240490409414
IRQ,0.004698968245227034
ISL,3.000049641076794e-05
ISR,0.0022262752141594603
ITA,0.008625123090145442
JAM,0.00025025916634758633
JOR,0.0006934040271343179
JPN,0.03756453742262759
KAZ,0.006844470397104164
KEN,0.00046459926452847367
KGZ,0.00021159043795054746
KHM,0.0004620478425035198
KIR,1.8622441916521222e-06
KNA,1.0035147933896581e-05
KOR,0.021182927839680243
KWT,0.002976530220408398
LAO,0.0007970473659064743
LBN,0.0009813065601722878
LBR,3.220549510231258e-05
LBY,0.001560988331692384
LCA,2.5020972576219065e-05
LKA,0.0007368556767257935
LSO,1.7155248705335112e-05
LTU,0.000231419716519418
LUX,0.00018560999606542637
LVA,0.00019078071447100516
MAC,6.269457288471489e-05
MAR,0.0021376918234842293
MDA,0.00025832649129198563
MDG,0.0001356201308366661
MDV,5.500673586802126e-05
MEX,0.01234014080656801
MKD,0.00028991931456240014
MLI,0.00014211649679925968
MLT,5.4304675069271696e-05
MMR,0.0010666753576319178
MNG,0.0007867261677355407
MOZ,0.00018683465910863584
MRT,9.312918425889892e-05
MTQ,7.046939545620113e-05
MUS,0.00015390985657821283
MWI,4.749807561169519e-05
MYS,0.008250209383334007
NAM,6.707859076051447e-05
NCL,0.00015434059719974838
NER,7.245786642254658e-05
NGA,0.0022710698961223527
NIC,0.00013938467383083376
NLD,0.004134406892374039
NOR,0.0005400339169399073
NPL,0.0002233497113845988
NZL,0.0008031881815547799
OMN,0.0016088741342691873
PAK,0.005020741776092017
PAN,0.0003997692447570254
PER,0.0013737984780914027
PHL,0.004967809604496051
PLW,3.546249739782946e-05
PNG,0.0001583225938224806
POL,0.009648703955378228
PRI,8.78265662445006e-06
PRK,0.00103662595038844
PRT,0.00121068415452144
PRY,0.00019376034311298414
PYF,2.411817290226737e-05
QAT,0.00210992573381959
REU,6.464631424477266e-05
ROU,0.0020726385746604598
RUS,0.060920310359779635
RWA,3.0107462964322713e-05
SAU,0.017704207006260797
SCG,0.002227119119957927
SDN,0.0005990838260238404
SEA,0.003710266471392152
SEN,0.0003033422169792046
SGP,0.001542448228840436
SHN,5.045388759872409e-07
SLB,8.025624733863402e-06
SLE,2.419757660101594e-05
SLV,0.00019003173076370954
SOM,2.0188796946443707e-05
SPM,3.3651132043671356e-06
STP,3.910751695589325e-06
SUR,7.235566562317936e-05
SVK,0.0006901260547021578
SVN,0.00039874320318408367
SWE,0.0009323721777764265
SWZ,4.02815273784836e-05
SYC,2.4618059248172605e-05
SYR,0.0007961350002041556
TCA,8.71222550965562e-06
TCD,4.802620222617995e-05
TGO,4.344816198529502e-05
THA,0.007803631799941238
TJK,0.00018663997210656934
TKM,0.0015027002468531744
TLS,1.3577993401547814e-05
TON,4.212475234888864e-06
TTO,0.00043629091506094806
TUN,0.0007870006548395608
TUR,0.011304717317343647
TWN,0.009754237429342106
TZA,0.0003420417420889447
UGA,0.0001498860798745384
UKR,0.005697247597131339
URY,0.0001299693662738162
USA,0.1877659105869923
UZB,0.0029897280879107426
VCT,8.141589998382094e-06
VEN,0.002389786653638861
VGB,6.365703057649928e-06
VNM,0.010850950812201722
VUT,5.531344715993815e-06
WSM,8.969011089969272e-06
YEM,0.0002555814604262146
ZAF,0.01488279915542525
ZMB,0.00019920464869069258
ZWE,0.00040337092876843137
