Country,nx_lapl_centr_country
KGZ,0.00022764301818575745
SEN,0.0003880556590371476
GIB,1.6601965457507854e-05
CHL,0.0038673784457194257
DOM,0.0009001866656798531
GRC,0.0016550165663533688
NZL,0.0008699044321033113
PRK,0.0011290090986304528
FJI,7.461457523796815e-05
BRB,5.7860637502766436e-05
BIH,0.0008067898347836898
SYC,2.274585325222916e-05
PRT,0.0015249355598449868
ARE,0.005394787299058019
GEO,0.00022996745617366137
GMB,3.3883128975529205e-05
SLE,0.00018986820286162972
GBR,0.009632358960882291
CUB,0.0012141908155818672
AUS,0.012376294692586491
DNK,0.0012168822633467048
BMU,2.600140112872655e-05
GAB,0.00042620396384290187
LBN,0.000867313032931477
LBR,0.0002839789991392255
CIV,0.0006488155747268741
SLV,0.00025412633086983064
GUY,0.00010607640653613357
CYM,2.7355538415861186e-05
NGA,0.011055871766941592
GIN,0.00041235196798062934
BGR,0.0014377976410415725
OMN,0.0015888047429366504
DJI,2.4896668619342767e-05
LSO,8.025911829523083e-05
REU,6.164010481012328e-05
COD,0.0014769455784142274
UGA,0.0016731671489520464
TUN,0.0008066918153117176
SPM,3.1407405889593e-06
MTQ,6.40338351492424e-05
VUT,6.70345300282062e-06
GHA,0.0007362835018432436
KWT,0.0026356652016945475
BDI,0.00018205901846006517
JOR,0.0006290637283507053
FIN,0.0026949428654274047
SEA,0.00306011523401544
MDA,0.0002913018328281543
HKG,0.0015443692859646702
COM,1.6562199612805345e-05
NER,0.0002539079275287634
PLW,3.159913717705296e-05
PER,0.001643081115317757
PAN,0.00041212830273704734
MDG,0.0005750581421183336
AUT,0.0021448106844361397
BFA,0.0005020812259556913
PNG,0.00025432337272169827
PRI,9.45982996897481e-06
ANT,5.4963143926678825e-05
GNQ,0.00012202372942618862
CMR,0.0006479294315546065
FLK,1.7192855402656745e-06
LVA,0.00036200551149652134
QAT,0.0019165078149009063
RUS,0.05599603301953958
VCT,8.489642759355258e-06
ZMB,0.0006669853667329913
COG,0.00022488777015017183
BTN,0.00012786930194119608
PYF,2.190252606555236e-05
MAC,5.678858921607527e-05
BEN,0.0003060102152343127
YEM,0.0002448017010486093
KAZ,0.006421227145159782
PAK,0.009042488949515856
LTU,0.0003914133421695607
SDN,0.001252904534683518
SGP,0.0014703074424991403
TZA,0.0015947062389546594
MRT,0.00014814969536184475
WSM,9.41963691162598e-06
BOL,0.0006196000486316533
ALB,9.623151862974751e-05
IRL,0.0009241380991709071
BHR,0.0011317460312295997
BGD,0.003638534412271477
JPN,0.036019951813804685
BLZ,5.651097547347903e-05
MDV,5.007398206203755e-05
CAN,0.013123634607072696
UZB,0.002859178129203587
SAU,0.01574510415622323
CHN,0.61227707816715
MYS,0.007460764317565565
NCL,0.00014473851161396497
ERI,6.233052720829599e-05
SLB,9.80980482916399e-06
VEN,0.0022669771726088776
POL,0.009737051969056651
MOZ,0.0006704793996629813
BHS,0.00013382753033659543
TTO,0.00038918430409000767
COL,0.0026015611834288525
DZA,0.0034834819708191513
KHM,0.0006855873343423399
MAR,0.0020722901377951096
CZE,0.0033827420757704518
VGB,6.013573683703024e-06
FRO,1.5237051286291866e-10
ROU,0.0022585594336195607
IND,0.11688149310705054
PHL,0.005343759749866649
SOM,0.00047262677179905655
CYP,0.00020857269900644655
IDN,0.0214495045193868
STP,6.77531630699396e-06
ISR,0.0019544228169722814
TCA,8.091564710255389e-06
TUR,0.010853042117102004
ARM,0.00014396429704865171
URY,0.0004552598457592243
GLP,5.9616338480057865e-05
BWA,0.00026870319153376906
EGY,0.007012746843566056
MEX,0.012491528091971172
SVK,0.0008623299860039367
LAO,0.0008378531727361297
AZE,0.0009131781075873742
BRA,0.024102959873504016
AFG,0.0002539730640214929
ESH,5.206399396925172e-06
AIR,0.002934685414780321
MLT,4.906231961751105e-05
GNB,8.46943310383695e-05
KEN,0.0015006576408310931
KNA,9.095306152823833e-06
ECU,0.0008440881585811967
LUX,0.0002063412741523197
UKR,0.0056286527298350306
LKA,0.0010788360278622781
HUN,0.0013692592317193532
KOR,0.019545484970720287
VNM,0.011344725491143104
AIA,5.341241519945314e-07
TON,3.85298788246837e-06
BEL,0.0024287852617833157
GRD,1.1120517902794462e-05
MMR,0.0018334757052031257
ETH,0.003518869948730587
IRQ,0.004212899266825261
EST,0.000491153398064579
JAM,0.00025521311789341623
USA,0.1894342719327119
KIR,1.7608298189235208e-06
CAF,6.38134341890758e-05
COK,2.460286591262675e-06
HND,0.000510686874263251
MWI,0.0002690637660300406
NIC,0.00028428288054604896
PRY,0.00040680691773469397
ZWE,0.0009407711712158787
THA,0.012587221432163051
TGO,0.00016266140034871157
NLD,0.0043770409330674805
RWA,0.00016110925514778088
CHE,0.0009519626595025031
LBY,0.0014029839864771537
IRN,0.015384656967422415
BLR,0.001926405873370143
DMA,7.172184509972988e-06
SWE,0.0028125413945977442
ISL,3.169188652729441e-05
SWZ,0.00018919767238038975
GUF,5.0396267512132614e-05
CPV,2.4589475918244397e-05
NPL,0.0011235339464185199
AGO,0.000863060535259583
TJK,0.0001786402683728565
ITA,0.009602039936668031
NAM,8.546631079176174e-05
MLI,0.0002889163991371145
SHN,4.3639802954721167e-07
GTM,0.001244825670886374
TLS,1.3761017619245187e-05
DEU,0.021632242000298604
TCD,0.0002755949285106932
ABW,4.089991333620061e-05
MUS,0.0001751901562907889
SVN,0.00041909346632812054
MKD,0.0002738195821424373
BRN,0.00018801727396961993
ARG,0.004854852435879973
FRA,0.008020872418308527
GRL,1.143970457024063e-05
TWN,0.008787466917358207
NOR,0.0006821597104032861
HRV,0.0004838235052963118
MNG,0.0007100687723318974
SYR,0.0007261988871517193
TKM,0.0014530849234519255
ZAF,0.014237976181195709
LCA,2.4114028839616974e-05
CRI,0.0002868163260599103
ESP,0.0063616456393546
SCG,0.0021016938284958934
ATG,2.4689956811629e-05
SUR,6.979431971636675e-05
HTI,0.0003030981181081547
